geometry,OBJECTID,NAME,LABEL,Shape_Length
"LINESTRING (-132.714005 53.126999, -132.169006 52.696999, -131.591995 52.258999)",87,North American:Pacific,Other,1.4186277908613427
"LINESTRING (-31.268 52.109001, -31.253 52.263, -31.264999 52.342999, -31.257 52.419998)",88,Eurasian:North American,Divergent Boundary,0.31303504564006335
"LINESTRING (-30.025999 52.029999, -30.375999 52.056999, -30.806999 52.095001, -31.058001 52.105, -31.268 52.109001)",89,Eurasian:North American,Transform Boundary,1.2449497827007934
"LINESTRING (-131.591995 52.258999, -131.177002 51.886002)",90,North American:Pacific,Transform Boundary,0.5579842300615472
"LINESTRING (-131.177002 51.886002, -130.850006 51.612)",91,North American:Pacific,Other,0.4266185920510785
"LINESTRING (-180 50.399216, -179.439916 50.369864, -178.999306 50.369864, -178.520383 50.369864, -178.012724 50.382115, -177.35181 50.406607, -176.911201 50.449437, -176.106609 50.504447, -175.484009 50.589891, -174.803938 50.638646, -174.047239 50.711684, -173.156442 50.814958, -172.409322 50.905892, -171.633466 51.008735, -170.800139 51.129434, -170.014705 51.273856, -169.277163 51.46571, -168.817397 51.597142, -167.878707 51.835132, -166.796341 52.101367, -165.943857 52.289724, -165.139266 52.500668, -164.392146 52.693144, -163.779124 52.88477, -163.099053 53.058241, -162.332776 53.231013, -161.595234 53.391637, -160.800221 53.517416, -159.928581 53.631435, -159.229353 53.767852, -157.93626 54.028076, -156.873145 54.230718, -156.078233 54.370195, -155.592454 54.493776, -155.27449 54.601603, -154.853975 54.83896, -154.532573 54.994522, -154.009089 55.195483, -153.233233 55.512004, -152.428642 55.852939, -152.00719 56.02497, -151.218002 56.308998, -150.546997 56.499001, -150.080994 56.623001, -149.602995 56.784402, -149.152807 56.947033, -148.750511 57.114166, -148.175803 57.373803, -147.802243 57.595626, -147.419104 57.841648, -147.035966 58.096139, -146.739033 58.348821, -146.406193 58.644142, -146.145169 58.858714, -145.790765 59.101018, -145.580039 59.228894)",92,North American:Pacific,Convergent Boundary,36.001422553907545
"MULTILINESTRING ((168.874356 53.253996, 169.774732 52.88477, 170.699997 52.498001, 171.862838 52.060057, 172.964005 51.683998, 174.228719 51.339897, 174.975839 51.165582, 175.349399 51.087226, 175.962421 50.948267, 176.671227 50.827093, 177.245935 50.705602, 177.696123 50.632555, 178.270831 50.534981, 178.759333 50.486118, 179.468139 50.424967, 179.994955 50.400485), (-180 50.412931, -179.995467 50.412728))",93,North American:Pacific,Convergent Boundary,11.550122375118365
"LINESTRING (-130.328995 50.298, -130.253998 50.465, -130.753006 50.908001, -131.074005 51.185001, -130.850006 51.612)",94,Pacific:Juan de Fuca,Divergent Boundary,1.7565222569359755
"LINESTRING (-130.162003 50.216999, -130.328995 50.298)",95,Pacific:Juan de Fuca,Transform Boundary,0.18560064215939837
"LINESTRING (-28.818001 49.657001, -28.868999 49.730999, -28.895 49.814999, -28.959999 49.904999, -28.987 49.987999, -28.995001 50.068001, -29.021999 50.152, -29.125999 50.195, -29.198 50.221001, -29.322001 50.32, -29.427 50.416, -29.507999 50.469002, -29.537001 50.5, -29.662001 50.598, -29.768 50.694, -29.830999 50.743, -29.875 50.790001, -29.909 50.861, -29.941999 50.931, -29.982 50.990002, -29.976 51.106998, -30.000999 51.254002, -29.996 51.424, -30.000999 51.619999, -30.006001 51.764999, -30.011 51.856998, -30.035999 51.952999, -30.025999 52.029999)",96,Eurasian:North American,Divergent Boundary,2.893916357503122
"LINESTRING (-28.562 49.639, -28.718 49.653, -28.818001 49.657001)",97,Eurasian:North American,Transform Boundary,0.2567074898508557
"LINESTRING (-130.501007 49.479, -130.162003 49.983002, -130.300003 50.055, -130.162003 50.216999)",98,Pacific:Juan de Fuca,Divergent Boundary,0.9758680907913119
"LINESTRING (-128.919006 48.868999, -129.705002 49.176998, -130.501007 49.479)",99,Pacific:Juan de Fuca,Transform Boundary,1.6955564390152478
"LINESTRING (-28.011 48.605, -28.035 48.688, -28.087 48.803001, -28.162001 48.909, -28.205999 48.995998, -28.263 49.098999, -28.316999 49.160999, -28.353001 49.220001, -28.426001 49.285999, -28.452 49.368999, -28.486 49.480999, -28.545 49.583, -28.562 49.639)",100,Eurasian:North American,Divergent Boundary,1.1878044635444778
"LINESTRING (-27.76 48.584999, -27.889 48.609001, -28.011 48.605)",101,Eurasian:North American,Transform Boundary,0.2532790104784839
"LINESTRING (-129.190002 47.834999, -128.940002 48.324001, -129.147003 48.476002, -128.919006 48.868999)",102,Pacific:Juan de Fuca,Divergent Boundary,1.2603617550310036
"LINESTRING (-128.938004 47.727001, -129.190002 47.834999)",103,Pacific:Juan de Fuca,Transform Boundary,0.27416599284994025
"LINESTRING (-27.462999 47.658001, -27.563999 47.651001)",104,Eurasian:North American,Transform Boundary,0.10124211388024591
"LINESTRING (-27.563999 47.651001, -27.59 47.775002, -27.622 47.886002, -27.635 47.993999, -27.653999 48.09, -27.704 48.205002, -27.712 48.325001, -27.731001 48.421001, -27.749001 48.516998, -27.76 48.584999)",105,Eurasian:North American,Divergent Boundary,0.9589420132144176
"LINESTRING (-27.378 46.757, -27.377001 46.848999, -27.347 46.922001, -27.334 46.999001, -27.382 47.113998, -27.441 47.205002, -27.474001 47.264, -27.461 47.341, -27.458 47.393002, -27.464001 47.473, -27.443001 47.521999, -27.448 47.602001, -27.462999 47.658001)",106,Eurasian:North American,Divergent Boundary,0.9515321149009272
"LINESTRING (-27.436001 46.755001, -27.378 46.757)",107,Eurasian:North American,Transform Boundary,0.058034998308969334
"LINESTRING (-129.572006 46.402, -129.259003 47.064999, -128.938004 47.727001)",108,Pacific:Juan de Fuca,Divergent Boundary,1.4688923819319428
"LINESTRING (-129.802994 46.432999, -129.572006 46.402)",109,Pacific:Juan de Fuca,Transform Boundary,0.23305822890322686
"LINESTRING (-27.511999 46.202999, -27.489 46.304001, -27.487 46.355999, -27.472 46.485001, -27.445999 46.638, -27.444 46.691002, -27.436001 46.755001)",110,Eurasian:North American,Divergent Boundary,0.5582241912364407
"LINESTRING (-27.565001 46.213001, -27.511999 46.202999)",111,Eurasian:North American,Transform Boundary,0.05393692150163352
"LINESTRING (-27.601999 45.983002, -27.584999 46.071999, -27.572001 46.148998, -27.565001 46.213001)",112,Eurasian:North American,Divergent Boundary,0.23307979873460946
